Torrita di Siena comune,Torrita di Siena comune.1
,
Torrita di Siena – Veduta,Torrita di Siena – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Giacomo Grazi (Centrosinistra per Torrita di Siena) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,43°10′N 11°46′E
Altitudine,325 m s.l.m.
Superficie,"58,24 km²"
Abitanti,6 941[1] (30-11-2025)
Densità,"119,18 ab./km²"
Frazioni,Montefollonico
Comuni confinanti,"Cortona (AR), Montepulciano, Pienza, Sinalunga, Trequanda"
Altre informazioni,Altre informazioni
Cod. postale,53049
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052035
Cod. catastale,L303
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 899 GG[3]"
Nome abitanti,torritesi[4]
Patrono,san Costanzo
Cartografia,Cartografia
Torrita di Siena,Torrita di Siena
Torrita di Siena – MappaPosizione del comune di Torrita di Siena all'interno della provincia di Siena,Torrita di Siena – MappaPosizione del comune di Torrita di Siena all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
