Radda in Chianti comune,Radda in Chianti comune.1
,
Radda in Chianti – VedutaPanorama di Radda in Chianti,Radda in Chianti – VedutaPanorama di Radda in Chianti
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Pier Paolo Mugnaini (centro-sinistra) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°29′N 11°23′E
Altitudine,530 m s.l.m.
Superficie,"80,42 km²"
Abitanti,1 429[1] (30-11-2025)
Densità,"17,77 ab./km²"
Frazioni,"Badia a Montemuro, Colle Petroso, Lucarelli, Monterinaldi, Palagio, San Fedele, Selvole, Volpaia[2]"
Comuni confinanti,"Castellina in Chianti, Castelnuovo Berardenga, Cavriglia (AR), Gaiole in Chianti, Greve in Chianti (FI)"
Altre informazioni,Altre informazioni
Cod. postale,53017
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052023
Cod. catastale,H153
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 245 GG[4]"
Nome abitanti,raddesi[5]
Patrono,san Nicolò
Cartografia,Cartografia
Radda in Chianti,Radda in Chianti
Radda in Chianti – MappaPosizione del comune di Radda in Chianti all'interno della provincia di Siena,Radda in Chianti – MappaPosizione del comune di Radda in Chianti all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
