Provincia di Siena provincia,Provincia di Siena provincia.1
,
"Provincia di Siena – VedutaPalazzo Reale, sede della Provincia","Provincia di Siena – VedutaPalazzo Reale, sede della Provincia"
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Amministrazione,Amministrazione
Capoluogo,Siena
Presidente,Agnese Carletti (PD) dal 01-10-2024
Data di istituzione,1865
Territorio,Territorio
Coordinate del capoluogo,43°20′N 11°20′E
Superficie,"3 820,98 km²"
Abitanti,259 471[1] (31-10-2025)
Densità,"67,91 ab./km²"
Comuni,35 comuni
Province confinanti,"Firenze, Arezzo, Perugia, Terni, Viterbo, Grosseto, Pisa"
Altre informazioni,Altre informazioni
Cod. postale,"53100, 53011-53049"
Prefisso,"0577, 0578"
Fuso orario,UTC+1
ISO 3166-2,IT-SI
Codice ISTAT,052
Targa,SI
Cartografia,Cartografia
Provincia di Siena – Localizzazione,Provincia di Siena – Localizzazione
Provincia di Siena – MappaPosizione della provincia di Siena all'interno della Toscana,Provincia di Siena – MappaPosizione della provincia di Siena all'interno della Toscana
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
