Chianciano Terme comune,Chianciano Terme comune.1
,
Chianciano Terme – Veduta,Chianciano Terme – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Grazia Torelli (PD) dal 9-6-2024
Territorio,Territorio
Coordinate,43°04′N 11°50′E
Altitudine,475 m s.l.m.
Superficie,"36,58 km²"
Abitanti,7 152[1] (30-11-2025)
Densità,"195,52 ab./km²"
Comuni confinanti,"Chiusi, Montepulciano, Pienza, Sarteano"
Altre informazioni,Altre informazioni
Cod. postale,53042
Prefisso,0578
Fuso orario,UTC+1
Codice ISTAT,052009
Cod. catastale,C608
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 152 GG[3]"
Nome abitanti,chiancianesi[4]
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Chianciano Terme,Chianciano Terme
Chianciano Terme – MappaPosizione del comune di Chianciano Terme all'interno della provincia di Siena,Chianciano Terme – MappaPosizione del comune di Chianciano Terme all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
