Castellina in Chianti comune,Castellina in Chianti comune.1
,
Castellina in Chianti – Veduta,Castellina in Chianti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Giuseppe Stiaccini (Per Castellina) dal 10-6-2024
Territorio,Territorio
Coordinate,43°28′09″N 11°17′19″E
Altitudine,578 m s.l.m.
Superficie,"99,8 km²"
Abitanti,2 588[1] (30-11-2025)
Densità,"25,93 ab./km²"
Frazioni,"Fonterutoli, La Piazza, Lilliano, Pietrafitta, Rencine, San Leonino, Sant'Agnese"
Comuni confinanti,"Barberino Tavarnelle (FI), Castelnuovo Berardenga, Greve in Chianti (FI), Monteriggioni, Poggibonsi, Radda in Chianti"
Altre informazioni,Altre informazioni
Cod. postale,53011
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052005
Cod. catastale,C172
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 326 GG[3]"
Nome abitanti,castellinesi[4]
Patrono,san Fausto
Giorno festivo,18 settembre
Cartografia,Cartografia
Castellina in Chianti,Castellina in Chianti
Castellina in Chianti – MappaPosizione del comune di Castellina in Chianti all'interno della provincia di Siena,Castellina in Chianti – MappaPosizione del comune di Castellina in Chianti all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
