Sinalunga comune,Sinalunga comune.1
,
Sinalunga – Veduta,Sinalunga – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Edo Zacchei (centro-sinistra) dal 27-5-2019
Territorio,Territorio
Coordinate,43°13′N 11°44′E
Altitudine,364 m s.l.m.
Superficie,"78,66 km²"
Abitanti,12 087[1] (30-11-2025)
Densità,"153,66 ab./km²"
Frazioni,"Bettolle, Farnetella, Guazzino, Pieve di Sinalunga, Rigaiolo, Rigomagno, Rigomagno Stazione, Scrofiano"
Comuni confinanti,"Asciano, Cortona (AR), Foiano della Chiana (AR), Lucignano (AR), Rapolano Terme, Torrita di Siena, Trequanda"
Altre informazioni,Altre informazioni
Cod. postale,53048
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052033
Cod. catastale,A468
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 965 GG[3]"
Nome abitanti,sinalunghesi[4]
Patrono,Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Sinalunga,Sinalunga
Sinalunga – MappaPosizione del comune di Sinalunga all'interno della provincia di Siena,Sinalunga – MappaPosizione del comune di Sinalunga all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
