Montepulciano comune,Montepulciano comune.1
,
Montepulciano – Veduta,Montepulciano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Michele Angiolini (PD) dal 27-5-2019
Territorio,Territorio
Coordinate,43°06′N 11°47′E
Altitudine,605 m s.l.m.
Superficie,"165,33 km²"
Abitanti,13 020[1] (30-11-2025)
Densità,"78,75 ab./km²"
Frazioni,"Abbadia, Acquaviva, Gracciano, Montepulciano Stazione, Sant'Albino, Tre Berte, Valiano[2]"
Comuni confinanti,"Castiglione del Lago (PG), Chianciano Terme, Chiusi, Cortona (AR), Pienza, Torrita di Siena"
Altre informazioni,Altre informazioni
Cod. postale,53045
Prefisso,0578
Fuso orario,UTC+1
Codice ISTAT,052015
Cod. catastale,F592
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 2 100 GG[4]"
Nome abitanti,montepulcianesi[5]; monpulcianesi[5]; montepulciani[5]; poliziani (dotto)[5]
Patrono,san Giovanni Decollato
Giorno festivo,29 agosto
Cartografia,Cartografia
Montepulciano,Montepulciano
Montepulciano – MappaPosizione del comune di Montepulciano all'interno della provincia di Siena,Montepulciano – MappaPosizione del comune di Montepulciano all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
