Piancastagnaio comune,Piancastagnaio comune.1
,
Piancastagnaio – Veduta,Piancastagnaio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Franco Capocchi (lista civica È l'ora di Piano) dal 9-6-2024
Territorio,Territorio
Coordinate,42°51′N 11°41′E
Altitudine,772 m s.l.m.
Superficie,"69,63 km²"
Abitanti,3 850[1] (30-11-2025)
Densità,"55,29 ab./km²"
Frazioni,Saragiolo[2]
Comuni confinanti,"Abbadia San Salvatore, Castell'Azzara (GR), Proceno (VT), San Casciano dei Bagni, Santa Fiora (GR)"
Altre informazioni,Altre informazioni
Cod. postale,53025
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052020
Cod. catastale,G547
Targa,SI
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 629 GG[4]"
Nome abitanti,pianesi[5]
Patrono,san Filippo Neri
Giorno festivo,26 maggio
Cartografia,Cartografia
Piancastagnaio,Piancastagnaio
Piancastagnaio – MappaPosizione del comune di Piancastagnaio all'interno della provincia di Siena,Piancastagnaio – MappaPosizione del comune di Piancastagnaio all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
