Abbadia San Salvatore comune,Abbadia San Salvatore comune.1
,
Abbadia San Salvatore – VedutaPanorama del paese,Abbadia San Salvatore – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Niccolò Volpini (lista civica Niccolò Volpini Sindaco) dal 9-6-2024
Territorio,Territorio
Coordinate,42°52′59.27″N 11°40′14.33″E
Altitudine,822 m s.l.m.
Superficie,"58,99 km²"
Abitanti,6 099[1] (30-11-2025)
Densità,"103,39 ab./km²"
Comuni confinanti,"Castel del Piano (GR), Castiglione d'Orcia, Piancastagnaio, Radicofani, San Casciano dei Bagni, Santa Fiora (GR), Seggiano (GR)"
Altre informazioni,Altre informazioni
Cod. postale,53021
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052001
Cod. catastale,A006
Targa,SI
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 994 GG[3]"
Nome abitanti,"abbadengo, abbadenghi[4]; abbadingo, abbadinghi[4]; badengo, badenghi[4]; batingo, batinghi[4]"
Patrono,san Marco papa
Giorno festivo,19 settembre
Cartografia,Cartografia
Abbadia San Salvatore,Abbadia San Salvatore
Abbadia San Salvatore – MappaPosizione del comune di Abbadia San Salvatore all'interno della provincia di Siena,Abbadia San Salvatore – MappaPosizione del comune di Abbadia San Salvatore all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
