Trequanda comune,Trequanda comune.1
,
Trequanda – VedutaPanorama,Trequanda – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Andrea Francini (lista civica Trequanda in cammino) dal 4-10-2021
Territorio,Territorio
Coordinate,43°11′N 11°40′E
Altitudine,453 m s.l.m.
Superficie,"63,98 km²"
Abitanti,1 118[1] (30-11-2025)
Densità,"17,47 ab./km²"
Frazioni,"Castelmuzio, Petroio[2]"
Comuni confinanti,"Asciano, Montalcino, Pienza, Rapolano Terme, Sinalunga, Torrita di Siena"
Altre informazioni,Altre informazioni
Cod. postale,53020
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052036
Cod. catastale,L384
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 115 GG[4]"
Nome abitanti,trequandini[5]
Patrono,sant'Andrea
Cartografia,Cartografia
Trequanda,Trequanda
Trequanda – MappaPosizione del comune di Trequanda all'interno della provincia di Siena,Trequanda – MappaPosizione del comune di Trequanda all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
