Monteroni d'Arbia comune,Monteroni d'Arbia comune.1
,
Monteroni d'Arbia – VedutaPanorama di Monteroni d'Arbia,Monteroni d'Arbia – VedutaPanorama di Monteroni d'Arbia
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Siena
Amministrazione,Amministrazione
Sindaco,Gabriele Berni (PD) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°14′N 11°25′E
Altitudine,161 m s.l.m.
Superficie,"105,91 km²"
Abitanti,9 012[1] (30-11-2025)
Densità,"85,09 ab./km²"
Frazioni,"Cuna, Lucignano d'Arbia, Ponte a Tressa, Ponte d'Arbia, Quinciano, Radi, Ville di Corsano"
Comuni confinanti,"Asciano, Buonconvento, Murlo, Siena, Sovicille"
Altre informazioni,Altre informazioni
Cod. postale,53014
Prefisso,0577
Fuso orario,UTC+1
Codice ISTAT,052017
Cod. catastale,F605
Targa,SI
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 621 GG[3]"
Nome abitanti,monteronesi[4]
Patrono,santi Giusto e Donato
Giorno festivo,25 febbraio
Cartografia,Cartografia
Monteroni d'Arbia,Monteroni d'Arbia
Monteroni d'Arbia – MappaPosizione del comune di Monteroni d'Arbia all'interno della provincia di Siena,Monteroni d'Arbia – MappaPosizione del comune di Monteroni d'Arbia all'interno della provincia di Siena
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
