Barletta comune,Barletta comune.1
,
Barletta – VedutaPanorama sul centro storico,Barletta – VedutaPanorama sul centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Barletta-Andria-Trani
Amministrazione,Amministrazione
Sindaco,Cosimo Cannito (indipendente di centro-destra) dal 27-6-2022[1]
Territorio,Territorio
Coordinate,41°19′N 16°17′E
Altitudine,15 m s.l.m.
Superficie,"149,35 km²"
Abitanti,92 081[2] (30-11-2025)
Densità,"616,55 ab./km²"
Frazioni,"Ariscianne, Canne, Casalonga, Fiumara, Montaltino"
Comuni confinanti,"Andria, Canosa di Puglia, Margherita di Savoia, San Ferdinando di Puglia, Trani, Trinitapoli"
Altre informazioni,Altre informazioni
Cod. postale,76121 70051 fino al 30 aprile 2011
Prefisso,0883
Fuso orario,UTC+1
Codice ISTAT,110002
Cod. catastale,A669
Targa,BT
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 306 GG[4]"
Nome abitanti,barlettani
Patrono,San Ruggero di Canne e Madonna dello Sterpeto
Giorno festivo,Seconda domenica di luglio
Cartografia,Cartografia
Barletta,Barletta
Barletta – MappaPosizione del comune di Barletta nella provincia di Barletta-Andria-Trani,Barletta – MappaPosizione del comune di Barletta nella provincia di Barletta-Andria-Trani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
