Bisceglie comune,Bisceglie comune.1
,
Bisceglie – VedutaIl porto con il centro storico,Bisceglie – VedutaIl porto con il centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Barletta-Andria-Trani
Amministrazione,Amministrazione
Sindaco,Angelantonio Angarano (coalizione civica) dal 24-6-2018 (2º mandato dal 29-5-2023)
Territorio,Territorio
Coordinate,41°14′27.36″N 16°30′07.42″E
Altitudine,16 m s.l.m.
Superficie,"69,25 km²"
Abitanti,53 260[1] (30-11-2025)
Densità,"769,1 ab./km²"
Comuni confinanti,"Corato (BA), Molfetta (BA), Ruvo di Puglia (BA), Terlizzi (BA), Trani"
Altre informazioni,Altre informazioni
Cod. postale,76011
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,110003
Cod. catastale,A883
Targa,BT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 203 GG[3]"
Nome abitanti,biscegliesi
Patrono,"santi Mauro, Sergio e Pantaleone Madonna Addolorata (Compatrona)"
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Bisceglie,Bisceglie
Bisceglie – MappaPosizione del comune di Bisceglie nella provincia di Barletta-Andria-Trani,Bisceglie – MappaPosizione del comune di Bisceglie nella provincia di Barletta-Andria-Trani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
