Andria comune,Andria comune.1
,
Andria – VedutaPanorama di Andria,Andria – VedutaPanorama di Andria
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Barletta-Andria-Trani
Amministrazione,Amministrazione
Sindaco,Giovanna Bruno (PD) dal 13-10-2020
Territorio,Territorio
Coordinate,41°13′54″N 16°18′30″E
Altitudine,151 m s.l.m.
Superficie,"402,89 km²"
Abitanti,96 530[1] (30-11-2025)
Densità,"239,59 ab./km²"
Frazioni,"Castel del Monte, Montegrosso, Troianelli, Punta di bosco spirito, Citulo, Posta di Grotte, Petrone, Le Palombe"
Comuni confinanti,"Barletta, Canosa di Puglia, Corato (BA), Minervino Murge, Ruvo di Puglia (BA), Spinazzola, Trani"
Altre informazioni,Altre informazioni
Cod. postale,76123
Prefisso,0883
Fuso orario,UTC+1
Codice ISTAT,110001
Cod. catastale,A285
Targa,BT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 377 GG[3]"
Nome abitanti,andriesi
Patrono,"san Riccardo di Andria, Madonna dei Miracoli"
Giorno festivo,terza domenica di settembre
Soprannome,città dei tre campanili o città federiciana
Cartografia,Cartografia
Andria,Andria
Andria – MappaPosizione del comune di Andria nella provincia di Barletta-Andria-Trani,Andria – MappaPosizione del comune di Andria nella provincia di Barletta-Andria-Trani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
