Margherita di Savoia comune,Margherita di Savoia comune.1
,
Margherita di Savoia – Veduta,Margherita di Savoia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Barletta-Andria-Trani
Amministrazione,Amministrazione
Sindaco,Bernardo Lodispoto (lista civica) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,41°22′N 16°09′E
Altitudine,1 m s.l.m.
Superficie,"35,7 km²"
Abitanti,11 028[1] (30-11-2025)
Densità,"308,91 ab./km²"
Frazioni,"Orno, Torre Pietra e Quarto"
Comuni confinanti,"Barletta, Trinitapoli, Zapponeta (FG)"
Altre informazioni,Altre informazioni
Cod. postale,76016
Prefisso,0883
Fuso orario,UTC+1
Codice ISTAT,110005
Cod. catastale,E946
Targa,BT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 284 GG[3]"
Nome abitanti,margheritani o salinari
Patrono,"Santissimo Salvatore, Maria Addolorata (compatrona)"
Giorno festivo,6 agosto; 15 settembre
Cartografia,Cartografia
Margherita di Savoia,Margherita di Savoia
Margherita di Savoia – MappaPosizione del comune di Margherita di Savoia nella provincia di Barletta-Andria-Trani,Margherita di Savoia – MappaPosizione del comune di Margherita di Savoia nella provincia di Barletta-Andria-Trani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
