Canosa di Puglia comune,Canosa di Puglia comune.1
,
Canosa di Puglia – Veduta,Canosa di Puglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Barletta-Andria-Trani
Amministrazione,Amministrazione
Sindaco,Vito Malcangio (coalizione di centro-destra) dal 13-6-2022
Territorio,Territorio
Coordinate,41°13′N 16°04′E
Altitudine,120 m s.l.m.
Superficie,"150,93 km²"
Abitanti,27 279[1] (30-11-2025)
Densità,"180,74 ab./km²"
Frazioni,"Loconia, Tufarelle[2]"
Comuni confinanti,"Andria, Barletta, Cerignola, Lavello, Minervino Murge, San Ferdinando di Puglia"
Altre informazioni,Altre informazioni
Cod. postale,76012 (70053 fino al 30-4-2011)
Prefisso,0883
Fuso orario,UTC+1
Codice ISTAT,110004
Cod. catastale,B619
Targa,BT
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona C, 1 187 GG[4]"
Nome abitanti,canosini
Patrono,san Sabino[5]
Giorno festivo,9 febbraio
Cartografia,Cartografia
Canosa di Puglia,Canosa di Puglia
Canosa di Puglia – MappaPosizione del comune di Canosa di Puglia nella provincia di Barletta-Andria-Trani,Canosa di Puglia – MappaPosizione del comune di Canosa di Puglia nella provincia di Barletta-Andria-Trani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
