Trinitapoli comune,Trinitapoli comune.1
,
Trinitapoli – VedutaPiazza Umberto I,Trinitapoli – VedutaPiazza Umberto I
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Barletta-Andria-Trani
Amministrazione,Amministrazione
Sindaco,Francesco Di Feo (lista civica di centro-destra) dal 10-06-2024
Territorio,Territorio
Coordinate,41°21′N 16°06′E
Altitudine,5 m s.l.m.
Superficie,"148,77 km²"
Abitanti,13 619[1] (30-11-2025)
Densità,"91,54 ab./km²"
Frazioni,"Santa Chiara, Le Quattro Masserie"
Comuni confinanti,"Barletta, Cerignola (FG), Margherita di Savoia, San Ferdinando di Puglia, Zapponeta (FG)"
Altre informazioni,Altre informazioni
Cod. postale,76015
Prefisso,0883
Fuso orario,UTC+1
Codice ISTAT,110010
Cod. catastale,B915
Targa,BT
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 296 GG[3]"
Nome abitanti,casalini o trinitapolesi
Patrono,Santo Stefano e Madonna di Loreto
Giorno festivo,15-16 agosto e 10-26 dicembre
Cartografia,Cartografia
Trinitapoli,Trinitapoli
Trinitapoli – MappaPosizione del comune di Trinitapoli nella provincia di Barletta-Andria-Trani,Trinitapoli – MappaPosizione del comune di Trinitapoli nella provincia di Barletta-Andria-Trani
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
