Tiana comune,Tiana comune.1
"(IT, SC) Tiana","(IT, SC) Tiana"
,
Tiana – VedutaVista dalla strada per Teti,Tiana – VedutaVista dalla strada per Teti
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Nuoro
Amministrazione,Amministrazione
Sindaco,Pietro Zedda (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°04′05″N 9°08′49.89″E
Altitudine,564 m s.l.m.
Superficie,"19,32 km²"
Abitanti,420[1] (30-11-2025)
Densità,"21,74 ab./km²"
Comuni confinanti,"Austis, Desulo, Ovodda, Sorgono, Teti, Tonara"
Altre informazioni,Altre informazioni
Cod. postale,08020
Prefisso,0784
Fuso orario,UTC+1
Codice ISTAT,091091
Cod. catastale,L160
Targa,NU
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) tianesi (SC) tianesos
Patrono,sant'Elena
Giorno festivo,18 agosto
Cartografia,Cartografia
Tiana,Tiana
Tiana – MappaPosizione del comune di Tiana all'interno della provincia di Nuoro,Tiana – MappaPosizione del comune di Tiana all'interno della provincia di Nuoro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
