Orune comune,Orune comune.1
"(IT) Orune (SC) Orùne, Urùne","(IT) Orune (SC) Orùne, Urùne"
,
Orune – Veduta,Orune – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Nuoro
Amministrazione,Amministrazione
Sindaco,Giovanna Porcu (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,40°24′24.12″N 9°22′09.4″E
Altitudine,745 m s.l.m.
Superficie,"128,45 km²"
Abitanti,2 029[1] (30-11-2025)
Densità,"15,8 ab./km²"
Comuni confinanti,"Benetutti (SS), Bitti, Dorgali, Lula, Nule (SS), Nuoro"
Altre informazioni,Altre informazioni
Cod. postale,08020
Prefisso,0784
Fuso orario,UTC+1
Codice ISTAT,091067
Cod. catastale,G147
Targa,NU
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) orunesi (SC) orunesos
Patrono,Santa Maria Maggiore[3]
Giorno festivo,5 agosto[3]
Cartografia,Cartografia
Orune,Orune
Orune – MappaPosizione del comune di Orune all'interno della provincia di Nuoro,Orune – MappaPosizione del comune di Orune all'interno della provincia di Nuoro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
