Lei comune,Lei comune.1
"(IT, SC) Lei","(IT, SC) Lei"
,
Lei – Veduta,Lei – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Nuoro
Amministrazione,Amministrazione
Sindaco,Luigi Cadau (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°18′20″N 8°55′08″E
Altitudine,456 m s.l.m.
Superficie,"19,11 km²"
Abitanti,434[1] (30-11-2025)
Densità,"22,71 ab./km²"
Comuni confinanti,"Bolotana, Silanus"
Altre informazioni,Altre informazioni
Cod. postale,08010
Prefisso,0785
Fuso orario,UTC+1
Codice ISTAT,091038
Cod. catastale,E517
Targa,NU
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) leiesi (SC) leiesos
Patrono,san Pietro Apostolo
Cartografia,Cartografia
Lei,Lei
Lei – MappaPosizione del comune di Lei all'interno della provincia di Nuoro,Lei – MappaPosizione del comune di Lei all'interno della provincia di Nuoro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
