Teti comune,Teti comune.1
"(IT, SC) Teti","(IT, SC) Teti"
,
Teti – VedutaTeti vista da punta Sa Marghine,Teti – VedutaTeti vista da punta Sa Marghine
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Nuoro
Amministrazione,Amministrazione
Sindaco,Costantino Tidu (lista civica) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,40°05′42.52″N 9°07′08.39″E
Altitudine,714 m s.l.m.
Superficie,"43,91 km²"
Abitanti,563[1] (30-11-2025)
Densità,"12,82 ab./km²"
Comuni confinanti,"Austis, Ollolai, Olzai, Ovodda, Tiana"
Altre informazioni,Altre informazioni
Cod. postale,08030
Prefisso,0784
Fuso orario,UTC+1
Codice ISTAT,091090
Cod. catastale,L153
Targa,NU
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) tetiesi (SC) tetiesos
Cartografia,Cartografia
Teti,Teti
Teti – MappaPosizione del comune di Teti all'interno della provincia di Nuoro,Teti – MappaPosizione del comune di Teti all'interno della provincia di Nuoro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
