Loculi comune,Loculi comune.1
(IT) Loculi (SC) Lòcula,(IT) Loculi (SC) Lòcula
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Nuoro
Amministrazione,Amministrazione
Sindaco,Alessandro Luche (lista civica) dal 5-6-2016 (2º mandato dall'11-10-2021)
Territorio,Territorio
Coordinate,40°24′22.23″N 9°36′34.57″E
Altitudine,26 m s.l.m.
Superficie,"38,15 km²"
Abitanti,481[1] (30-11-2025)
Densità,"12,61 ab./km²"
Comuni confinanti,"Galtellì, Irgoli, Lula"
Altre informazioni,Altre informazioni
Cod. postale,08020
Prefisso,0784
Fuso orario,UTC+1
Codice ISTAT,091040
Cod. catastale,E646
Targa,NU
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) loculesi (SC) loculesos
Patrono,san Pietro Apostolo
Giorno festivo,18 gennaio
Cartografia,Cartografia
Loculi,Loculi
Loculi – MappaPosizione del comune di Loculi all'interno della provincia di Nuoro,Loculi – MappaPosizione del comune di Loculi all'interno della provincia di Nuoro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
