Gavoi comune,Gavoi comune.1
"(IT, SC) Gavoi","(IT, SC) Gavoi"
,
Gavoi – Veduta,Gavoi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Nuoro
Amministrazione,Amministrazione
Sindaco,Salvatore Lai (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°09′37.36″N 9°11′40.91″E
Altitudine,777 m s.l.m.
Superficie,"38,06 km²"
Abitanti,2 407[1] (30-11-2025)
Densità,"63,24 ab./km²"
Comuni confinanti,"Fonni, Lodine, Mamoiada, Ollolai, Ovodda"
Altre informazioni,Altre informazioni
Cod. postale,08020
Prefisso,0784
Fuso orario,UTC+1
Codice ISTAT,091028
Cod. catastale,D947
Targa,NU
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) gavoesi (SC) gavoesos
Giorno festivo,san Gavino (25 ottobre)
Cartografia,Cartografia
Gavoi,Gavoi
Gavoi – MappaPosizione del comune di Gavoi all'interno della provincia di Nuoro,Gavoi – MappaPosizione del comune di Gavoi all'interno della provincia di Nuoro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
