Orosei comune,Orosei comune.1
(IT) Orosei (SC) Orosèi,(IT) Orosei (SC) Orosèi
,
Orosei – Veduta,Orosei – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Nuoro
Amministrazione,Amministrazione
Sindaco,Elisa Farris (lista civica) dall'11-10-2021
Territorio,Territorio
Coordinate,40°22′47″N 9°41′39″E
Altitudine,19 m s.l.m.
Superficie,91 km²
Abitanti,6 845[1] (30-11-2025)
Densità,"75,22 ab./km²"
Frazioni,"Cala Liberotto, Cala Ginepro, Sas Linnas Siccas, Sos Alinos"
Comuni confinanti,"Dorgali, Galtellì, Onifai, Siniscola"
Altre informazioni,Altre informazioni
Cod. postale,08028
Prefisso,0784
Fuso orario,UTC+1
Codice ISTAT,091063
Cod. catastale,G119
Targa,NU
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) oroseini (SC) oroseinos
Patrono,san Giacomo Apostolo
Giorno festivo,25 luglio
Cartografia,Cartografia
Orosei,Orosei
Orosei – MappaPosizione del comune di Orosei all'interno della provincia di Nuoro,Orosei – MappaPosizione del comune di Orosei all'interno della provincia di Nuoro
[www.comune.orosei.nu.it Sito istituzionale],[www.comune.orosei.nu.it Sito istituzionale]
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
