Provincia di Nuoro provincia,Provincia di Nuoro provincia.1
,
"Provincia di Nuoro – VedutaFacciata del Palazzo della Provincia, 2022","Provincia di Nuoro – VedutaFacciata del Palazzo della Provincia, 2022"
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Amministrazione,Amministrazione
Capoluogo,Nuoro
Presidente,Giuseppe Ciccolini (PD) dal 29-09-2025
Data di istituzione,2 gennaio 1927
Territorio,Territorio
Coordinate del capoluogo,40°19′02.74″N 9°19′24.71″E
Superficie,"3 990,51 km²"
Abitanti,194 616[1] (31-7-2025)
Densità,"48,77 ab./km²"
Comuni,53 comuni
Province confinanti,"Cagliari, Gallura Nord-Est Sardegna, Ogliastra, Oristano, Sassari"
Altre informazioni,Altre informazioni
Cod. postale,08010 - 08039 08100 09065
Prefisso,"0782, 0784, 0785, 079"
Fuso orario,UTC+1
ISO 3166-2,IT-NU
Codice ISTAT,114
Targa,NU
Cartografia,Cartografia
Provincia di Nuoro – Localizzazione,Provincia di Nuoro – Localizzazione
Provincia di Nuoro – MappaPosizione della provincia di Nuoro all'interno della Sardegna,Provincia di Nuoro – MappaPosizione della provincia di Nuoro all'interno della Sardegna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
