Torpè comune,Torpè comune.1
"(IT, SC) Torpè","(IT, SC) Torpè"
,
Torpè – Veduta,Torpè – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Nuoro
Amministrazione,Amministrazione
Sindaco,Martino Giovanni Sanna (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°37′39.83″N 9°40′41.61″E
Altitudine,24 m s.l.m.
Superficie,"91,5 km²"
Abitanti,2 758[1] (30-11-2025)
Densità,"30,14 ab./km²"
Frazioni,"Concas, Talavà, Su Cossu, Sos Rios, Brunella"
Comuni confinanti,"Budoni (OT), Lodè, Padru (OT), Posada, San Teodoro (OT), Siniscola"
Altre informazioni,Altre informazioni
Cod. postale,08020
Prefisso,0784
Fuso orario,UTC+1
Codice ISTAT,091094
Cod. catastale,L231
Targa,NU
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,(IT) torpeini (SC) torpeinos
Patrono,Nostra Signora degli Angeli
Cartografia,Cartografia
Torpè,Torpè
Torpè – MappaPosizione del comune di Torpè all'interno della provincia di Nuoro,Torpè – MappaPosizione del comune di Torpè all'interno della provincia di Nuoro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
