Lodè comune,Lodè comune.1
"(IT, SC) Lodè","(IT, SC) Lodè"
,
Lodè – Veduta,Lodè – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sardegna
Provincia,Nuoro
Amministrazione,Amministrazione
Sindaco,Antonella Canu (lista civica) dal 26-10-2020
Territorio,Territorio
Coordinate,40°35′28.59″N 9°32′22.44″E
Altitudine,345 m s.l.m.
Superficie,"123,45 km²"
Abitanti,1 459[1] (30-11-2025)
Densità,"11,82 ab./km²"
Frazioni,Sant'Anna
Comuni confinanti,"Bitti, Lula, Onanì, Padru (OT), Siniscola, Torpè"
Altre informazioni,Altre informazioni
Cod. postale,08020
Prefisso,0784
Fuso orario,UTC+1
Codice ISTAT,091041
Cod. catastale,E647
Targa,NU
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 310 GG[3]"
Nome abitanti,(IT) lodeini (SC) lodeinos
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Lodè,Lodè
Lodè – MappaPosizione del comune di Lodè all'interno della provincia di Nuoro,Lodè – MappaPosizione del comune di Lodè all'interno della provincia di Nuoro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
