Castel Rocchero comune,Castel Rocchero comune.1
,
Castel Rocchero – VedutaIl borgo di Castel Rocchero visto da Alice Bel Colle,Castel Rocchero – VedutaIl borgo di Castel Rocchero visto da Alice Bel Colle
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Matteo Menotti (lista civica Il futuro è Castel Rocchero) dal 10-6-2024
Territorio,Territorio
Coordinate,44°43′09″N 8°24′59″E
Altitudine,414 m s.l.m.
Superficie,"5,63 km²"
Abitanti,359[1] (30-11-2025)
Densità,"63,77 ab./km²"
Comuni confinanti,"Acqui Terme (AL), Alice Bel Colle (AL), Castel Boglione, Castelletto Molina, Fontanile, Montabone"
Altre informazioni,Altre informazioni
Cod. postale,14040
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005032
Cod. catastale,C253
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 830 GG[3]"
Nome abitanti,castelrocchesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Castel Rocchero,Castel Rocchero
Castel Rocchero – MappaMappa di localizzazione del comune di Castel Rocchero nella provincia di Asti,Castel Rocchero – MappaMappa di localizzazione del comune di Castel Rocchero nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
