Celle Enomondo comune,Celle Enomondo comune.1
,
Celle Enomondo – Veduta,Celle Enomondo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Andrea Bovero (lista civica) dal 26-5-2014 (2º mandato dal 26-5-2019)
Territorio,Territorio
Coordinate,44°51′28″N 8°07′29″E
Altitudine,234 m s.l.m.
Superficie,"5,59 km²"
Abitanti,426[1] (30-11-2025)
Densità,"76,21 ab./km²"
Frazioni,Merlazza
Comuni confinanti,"Antignano, Asti, Revigliasco d'Asti, San Damiano d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14010
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005034
Cod. catastale,C440
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 600 GG[3]"
Nome abitanti,"cellesi, cellini"
Patrono,San Rifugio
Giorno festivo,16 agosto
Cartografia,Cartografia
Celle Enomondo,Celle Enomondo
Celle Enomondo – MappaMappa di localizzazione del comune di Celle Enomondo nella provincia di Asti,Celle Enomondo – MappaMappa di localizzazione del comune di Celle Enomondo nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
