Revigliasco d'Asti comune,Revigliasco d'Asti comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Giuseppe Contorno (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,44°51′31″N 8°09′41″E
Altitudine,203 m s.l.m.
Superficie,"8,84 km²"
Abitanti,752[1] (30-11-2025)
Densità,"85,07 ab./km²"
Frazioni,"Bricco Novara, Castellero,Valle Mongogno,Bricco Manina, Salairolo"
Comuni confinanti,"Antignano, Asti, Celle Enomondo, Isola d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14010
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005090
Cod. catastale,H250
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 684 GG[3]"
Nome abitanti,revigliaschesi
Patrono,Sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Revigliasco d'Asti,Revigliasco d'Asti
Revigliasco d'Asti – MappaMappa di localizzazione del comune di Revigliasco d'Asti nella provincia di Asti,Revigliasco d'Asti – MappaMappa di localizzazione del comune di Revigliasco d'Asti nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
