Bruno comune,Bruno comune.1
,
Bruno – VedutaPiazza Roma nel centro storico di Bruno,Bruno – VedutaPiazza Roma nel centro storico di Bruno
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Lucas Bonzo (lista civica Bruno nel Cuore) dal 10-6-2024
Territorio,Territorio
Coordinate,44°47′39″N 8°26′30″E
Altitudine,198 m s.l.m.
Superficie,"8,9 km²"
Abitanti,305[1] (30-11-2025)
Densità,"34,27 ab./km²"
Frazioni,Borgo Aie
Comuni confinanti,"Bergamasco (AL), Carentino (AL), Castelnuovo Belbo, Mombaruzzo"
Altre informazioni,Altre informazioni
Cod. postale,14046
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005010
Cod. catastale,B221
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 575 GG[3]"
Nome abitanti,brunesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Bruno,Bruno
Bruno – MappaMappa di localizzazione del comune di Bruno nella provincia di Asti,Bruno – MappaMappa di localizzazione del comune di Bruno nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
