Ferrere comune,Ferrere comune.1
,
Ferrere – VedutaParrocchiale e veduta da Castelrosso,Ferrere – VedutaParrocchiale e veduta da Castelrosso
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Silvio Maria Tealdi (lista civica Insieme per Ferrere) dal 25-5-2014 (2º mandato dal 26-5-2019)
Territorio,Territorio
Coordinate,44°52′33.78″N 7°59′39.16″E
Altitudine,268 m s.l.m.
Superficie,"13,93 km²"
Abitanti,1 509[1] (30-11-2025)
Densità,"108,33 ab./km²"
Comuni confinanti,"Cantarana, Cisterna d'Asti, Montà (CN), San Damiano d'Asti, Valfenera"
Altre informazioni,Altre informazioni
Cod. postale,14012
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005053
Cod. catastale,D554
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 707 GG[3]"
Nome abitanti,ferreresi
Patrono,sant'Agostino
Giorno festivo,28 agosto
Cartografia,Cartografia
Ferrere,Ferrere
Ferrere – MappaMappa di localizzazione del comune di Ferrere nella provincia di Asti,Ferrere – MappaMappa di localizzazione del comune di Ferrere nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
