Soglio comune,Soglio comune.1
,
Soglio – Veduta,Soglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Carlo Cosimo Carpignano (lista civica Sogliesi insieme) dal 25-5-2014 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°59′50″N 8°04′46″E
Altitudine,223 m s.l.m.
Superficie,"3,28 km²"
Abitanti,127[1] (30-11-2025)
Densità,"38,72 ab./km²"
Frazioni,Vadonia
Comuni confinanti,"Camerano Casasco, Cortanze, Cortazzone, Montechiaro d'Asti, Piea, Viale"
Altre informazioni,Altre informazioni
Cod. postale,14020
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005107
Cod. catastale,I781
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 669 GG[3]"
Nome abitanti,sogliesi
Patrono,san Grato
Giorno festivo,7 settembre
Cartografia,Cartografia
Soglio,Soglio
Soglio – MappaMappa di localizzazione del comune di Soglio nella provincia di Asti,Soglio – MappaMappa di localizzazione del comune di Soglio nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
