Belveglio comune,Belveglio comune.1
,
Belveglio – Veduta,Belveglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Christian Vercelli (lista civica Uniti per Belveglio) dal 27-5-2019
Territorio,Territorio
Coordinate,44°49′51″N 8°19′46″E
Altitudine,141 m s.l.m.
Superficie,"5,28 km²"
Abitanti,293[1] (30-11-2025)
Densità,"55,49 ab./km²"
Frazioni,"Bricco, Gabella, Transtiglione"
Comuni confinanti,"Cortiglione, Mombercelli, Rocchetta Tanaro, Vinchio"
Altre informazioni,Altre informazioni
Cod. postale,14040
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005008
Cod. catastale,A770
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 527 GG[3]"
Nome abitanti,belvegliesi
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Belveglio,Belveglio
Belveglio – MappaMappa di localizzazione del comune di Belveglio nella provincia di Asti,Belveglio – MappaMappa di localizzazione del comune di Belveglio nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
