Castelnuovo Belbo comune,Castelnuovo Belbo comune.1
,
Castelnuovo Belbo – VedutaPalazzo comunale,Castelnuovo Belbo – VedutaPalazzo comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Allineri Aldo (lista civica Castelnuovo Belbo nel cuore) dal 5-6-2016
Territorio,Territorio
Coordinate,44°48′11″N 8°24′40″E
Altitudine,122 m s.l.m.
Superficie,"9,55 km²"
Abitanti,812[1] (30-11-2025)
Densità,"85,03 ab./km²"
Frazioni,Gallinara
Comuni confinanti,"Bergamasco (AL), Bruno, Incisa Scapaccino, Mombaruzzo, Nizza Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,14043
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005029
Cod. catastale,C226
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 511 GG[3]"
Nome abitanti,castelnovesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Castelnuovo Belbo,Castelnuovo Belbo
Castelnuovo Belbo – MappaMappa di localizzazione del comune di Castelnuovo Belbo nella provincia di Asti,Castelnuovo Belbo – MappaMappa di localizzazione del comune di Castelnuovo Belbo nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
