San Paolo Solbrito comune,San Paolo Solbrito comune.1
,
San Paolo Solbrito – VedutaMunicipio,San Paolo Solbrito – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Luca Panetta (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,44°57′06″N 7°58′18″E
Altitudine,265 m s.l.m.
Superficie,"11,87 km²"
Abitanti,1 158[1] (30-11-2025)
Densità,"97,56 ab./km²"
Comuni confinanti,"Dusino San Michele, Montafia, Roatto, Villafranca d'Asti, Villanova d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14010
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005101
Cod. catastale,I076
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 705 GG[3]"
Nome abitanti,sanpaolesi
Patrono,Madonna di Serra
Giorno festivo,18 settembre
Cartografia,Cartografia
San Paolo Solbrito,San Paolo Solbrito
San Paolo Solbrito – MappaMappa di localizzazione del comune di San Paolo Solbrito nella provincia di Asti,San Paolo Solbrito – MappaMappa di localizzazione del comune di San Paolo Solbrito nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
