Moransengo-Tonengo comune,Moransengo-Tonengo comune.1
Moransengo-Tonengo – VedutaPanorama di Tonengo,Moransengo-Tonengo – VedutaPanorama di Tonengo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Capoluogo,Tonengo
Sindaco,Raffaele Angelo Audino (lista civica) dal 15-05-2023
Data di istituzione,1º gennaio 2023
Territorio,Territorio
Coordinate del capoluogo,45°07′02.06″N 8°00′09″E
Altitudine,430 m s.l.m.
Superficie,11 km²
Abitanti,415[1] (30-11-2025)
Densità,"37,73 ab./km²"
Frazioni,"Bergate, Borgata Micela, Cappa, Casa Mariano, Castello, Cerrabello, Clina, Fegine, Gerbole, Grassino, Madio, Moransengo, Nervo, Novaresi, Ottini, Pareglio, Tonengo, Rongalera, Valle Nervi"
Comuni confinanti,"Aramengo, Brozolo (TO), Brusasco (TO), Casalborgone (TO), Cavagnolo (TO), Cocconato, Lauriano (TO)"
Altre informazioni,Altre informazioni
Cod. postale,14027
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005122
Cod. catastale,M434
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cartografia,Cartografia
Tonengo,Tonengo
Moransengo-Tonengo – MappaMappa di localizzazione del comune di Moransengo-Tonengo nella provincia di Asti,Moransengo-Tonengo – MappaMappa di localizzazione del comune di Moransengo-Tonengo nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
