Moasca comune,Moasca comune.1
,
Moasca – Veduta,Moasca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Andrea Ghignone (lista civica Parità trasparenza) dal 25-5-2014
Territorio,Territorio
Coordinate,44°45′52″N 8°16′46″E
Altitudine,260 m s.l.m.
Superficie,"4,16 km²"
Abitanti,525[1] (30-11-2025)
Densità,"126,2 ab./km²"
Frazioni,"Annunziata, Cascine, Muda"
Comuni confinanti,"Agliano Terme, Calosso, Canelli, Castelnuovo Calcea, San Marzano Oliveto"
Altre informazioni,Altre informazioni
Cod. postale,14050
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005063
Cod. catastale,F254
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 627 GG[3]"
Nome abitanti,moaschesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Moasca,Moasca
Moasca – MappaMappa di localizzazione del comune di Moasca nella provincia di Asti,Moasca – MappaMappa di localizzazione del comune di Moasca nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
