Antignano comune,Antignano comune.1
,
Antignano – Veduta,Antignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Alessandro Civardi (lista civica Insieme per Antignano) dal 26-5-2014
Territorio,Territorio
Coordinate,44°50′42.21″N 8°08′05.42″E
Altitudine,260 m s.l.m.
Superficie,"10,86 km²"
Abitanti,955[1] (30-11-2025)
Densità,"87,94 ab./km²"
Frazioni,"Gonella, Nicola, Perosini"
Comuni confinanti,"Celle Enomondo, Costigliole d'Asti, Isola d'Asti, Revigliasco d'Asti, San Damiano d'Asti, San Martino Alfieri"
Altre informazioni,Altre informazioni
Cod. postale,14010
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005003
Cod. catastale,A312
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 622 GG[3]"
Nome abitanti,antignanesi
Patrono,santo Stefano
Giorno festivo,31 luglio
Cartografia,Cartografia
Antignano,Antignano
Antignano – MappaMappa di localizzazione del comune di Antignano nella provincia di Asti,Antignano – MappaMappa di localizzazione del comune di Antignano nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
