Pino d'Asti comune,Pino d'Asti comune.1
,
Pino d'Asti – VedutaVeduta,Pino d'Asti – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Aldo Maria Marchisio (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°03′30″N 7°59′14″E
Altitudine,412 m s.l.m.
Superficie,"4,08 km²"
Abitanti,221[1] (30-11-2025)
Densità,"54,17 ab./km²"
Comuni confinanti,"Albugnano, Castelnuovo Don Bosco, Passerano Marmorito"
Altre informazioni,Altre informazioni
Cod. postale,14020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,005085
Cod. catastale,G676
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 828 GG[3]"
Nome abitanti,pinesi
Cartografia,Cartografia
Pino d'Asti,Pino d'Asti
Pino d'Asti – MappaMappa di localizzazione del comune di Pino d'Asti nella provincia di Asti,Pino d'Asti – MappaMappa di localizzazione del comune di Pino d'Asti nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
