Cassinasco comune,Cassinasco comune.1
,
Cassinasco – Veduta,Cassinasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Sergio Primosig (lista civica Impegno per Cassinasco) dall'8-6-2009 (3º mandato dal 26-5-2019)
Territorio,Territorio
Coordinate,44°41′24″N 8°18′13″E
Altitudine,447 m s.l.m.
Superficie,"11,84 km²"
Abitanti,561[1] (30-11-2025)
Densità,"47,38 ab./km²"
Frazioni,"Caffi, Bricco Bosetto"
Comuni confinanti,"Bubbio, Calamandrana, Canelli, Monastero Bormida, Rocchetta Palafea, Sessame"
Altre informazioni,Altre informazioni
Cod. postale,14050
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005021
Cod. catastale,C022
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 858 GG[3]"
Nome abitanti,cassinaschesi
Patrono,sant'Ilario di Poitiers
Giorno festivo,13 gennaio
Cartografia,Cartografia
Cassinasco,Cassinasco
Cassinasco – MappaMappa di localizzazione del comune di Cassinasco nella provincia di Asti,Cassinasco – MappaMappa di localizzazione del comune di Cassinasco nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
