Grazzano Badoglio comune,Grazzano Badoglio comune.1
,
Grazzano Badoglio – VedutaPanorama dei tetti del paese,Grazzano Badoglio – VedutaPanorama dei tetti del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Mauro Rodini (lista civica) dal 26-05-2019
Territorio,Territorio
Coordinate,45°02′29″N 8°18′42″E
Altitudine,299 m s.l.m.
Superficie,"10,47 km²"
Abitanti,514[1] (30-11-2025)
Densità,"49,09 ab./km²"
Comuni confinanti,"Casorzo Monferrato, Grana Monferrato, Moncalvo, Ottiglio (AL), Penango"
Altre informazioni,Altre informazioni
Cod. postale,14035
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005057
Cod. catastale,E159
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 733 GG[3]"
Nome abitanti,grazzanesi
Patrono,santi Vittore e Corona
Giorno festivo,14 maggio
Cartografia,Cartografia
Grazzano Badoglio,Grazzano Badoglio
Grazzano Badoglio – MappaMappa di localizzazione del comune di Grazzano Badoglio nella provincia di Asti,Grazzano Badoglio – MappaMappa di localizzazione del comune di Grazzano Badoglio nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
