Olmo Gentile comune,Olmo Gentile comune.1
,
Olmo Gentile – VedutaTorre Medioevale,Olmo Gentile – VedutaTorre Medioevale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Giuseppina Aramini (lista civica) dal 3-10-2021
Territorio,Territorio
Coordinate,44°35′12″N 8°14′53″E
Altitudine,615 m s.l.m.
Superficie,"5,62 km²"
Abitanti,67[1] (30-11-2025)
Densità,"11,92 ab./km²"
Comuni confinanti,"Perletto (CN), Roccaverano, San Giorgio Scarampi, Serole"
Altre informazioni,Altre informazioni
Cod. postale,14050
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,005081
Cod. catastale,G048
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 999 GG[3]"
Nome abitanti,olmesi
Patrono,Santa Maria Maddalena
Cartografia,Cartografia
Olmo Gentile,Olmo Gentile
Olmo Gentile – MappaMappa di localizzazione del comune di Olmo Gentile nella provincia di Asti,Olmo Gentile – MappaMappa di localizzazione del comune di Olmo Gentile nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
