Rocchetta Tanaro comune,Rocchetta Tanaro comune.1
(PMS) [Rochëtta 'd Tani],(PMS) [Rochëtta 'd Tani]
,
Rocchetta Tanaro – VedutaStazione ferroviaria,Rocchetta Tanaro – VedutaStazione ferroviaria
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Massimo Fungo (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°51′34″N 8°20′39″E
Altitudine,107 m s.l.m.
Superficie,"15,91 km²"
Abitanti,1 358[1] (30-11-2025)
Densità,"85,36 ab./km²"
Frazioni,"Asinara, Cornalea, Gatti, Mogliotti, Sant'Emiliano."
Comuni confinanti,"Belveglio, Castello di Annone, Cerro Tanaro, Cortiglione, Masio (AL), Mombercelli, Rocca d'Arazzo"
Altre informazioni,Altre informazioni
Cod. postale,14030
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005096
Cod. catastale,H468
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 498 GG[3]"
Nome abitanti,Rocchettesi
Patrono,Maria santissima Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Rocchetta Tanaro,Rocchetta Tanaro
Rocchetta Tanaro – MappaMappa di localizzazione del comune di Rocchetta Tanaro nella provincia di Asti,Rocchetta Tanaro – MappaMappa di localizzazione del comune di Rocchetta Tanaro nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
