Costigliole d'Asti comune,Costigliole d'Asti comune.1
,
Costigliole d'Asti – Veduta,Costigliole d'Asti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,"Cav. Enrico Alessandro Cavallero (lista civica Costigliole VIVA!) dal 26-5-2019, rieletto 10-06-2024"
Territorio,Territorio
Coordinate,44°47′06″N 8°10′55″E
Altitudine,242 m s.l.m.
Superficie,"36,94 km²"
Abitanti,5 671[1] (30-11-2025)
Densità,"153,52 ab./km²"
Frazioni,"Annunziata, Bionzo, Boglietto, Burio, Cavorro, Loreto, Madonnina, Motta, Sabbionassi, San Michele, Santa Margherita, Sant'Anna, San Carlo, Valcioccaro"
Comuni confinanti,"Agliano Terme, Antignano, Calosso, Castagnole delle Lanze, Castiglione Tinella (CN), Govone (CN), Isola d'Asti, Montegrosso d'Asti, San Martino Alfieri"
Altre informazioni,Altre informazioni
Cod. postale,14055
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005050
Cod. catastale,D119
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 498 GG[3]"
Nome abitanti,costigliolesi
Patrono,Beata Vergine Maria di Loreto
Giorno festivo,10 dicembre
Cartografia,Cartografia
Costigliole d'Asti,Costigliole d'Asti
Costigliole d'Asti – MappaMappa di localizzazione del comune di Costigliole d'Asti nella provincia di Asti,Costigliole d'Asti – MappaMappa di localizzazione del comune di Costigliole d'Asti nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
