Castelnuovo Don Bosco comune,Castelnuovo Don Bosco comune.1
,
Castelnuovo Don Bosco – VedutaPanorama,Castelnuovo Don Bosco – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Umberto Musso (lista civica CASTELNUOVO NOI) dal 9-06-2024
Territorio,Territorio
Coordinate,45°02′30″N 7°57′51″E
Altitudine,245 m s.l.m.
Superficie,"21,61 km²"
Abitanti,3 104[1] (30-11-2025)
Densità,"143,64 ab./km²"
Frazioni,"Bardella, Mondonio, Morialdo, Nevissano, Ranello"
Comuni confinanti,"Albugnano, Buttigliera d'Asti, Capriglio, Moncucco Torinese, Moriondo Torinese (TO), Passerano Marmorito, Pino d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14022
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,005031
Cod. catastale,C232
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 688 GG[3]"
Nome abitanti,castelnovesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Castelnuovo Don Bosco,Castelnuovo Don Bosco
Castelnuovo Don Bosco – MappaMappa di localizzazione del comune di Castelnuovo Don Bosco nella provincia di Asti,Castelnuovo Don Bosco – MappaMappa di localizzazione del comune di Castelnuovo Don Bosco nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
