Castellero comune,Castellero comune.1
,
Castellero – VedutaVeduta,Castellero – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Roberto Campia (lista civica Impegno per Castellero) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°55′27.62″N 8°04′28.36″E
Altitudine,247 m s.l.m.
Superficie,"4,29 km²"
Abitanti,283[1] (30-11-2025)
Densità,"65,97 ab./km²"
Frazioni,"Bordone, Borgo, Bricco, Bricco Trombetta, Monterosso, Trucco, Vallotte, Valporino, Vernetto"
Comuni confinanti,"Baldichieri d'Asti, Monale, Villafranca d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14011
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005026
Cod. catastale,C154
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 690 GG[3]"
Nome abitanti,castelleresi
Patrono,san Pietro in Vincoli
Giorno festivo,29 giugno
Cartografia,Cartografia
Castellero,Castellero
Castellero – MappaMappa di localizzazione del comune di Castellero nella provincia di Asti,Castellero – MappaMappa di localizzazione del comune di Castellero nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
