Capriglio comune,Capriglio comune.1
,
Capriglio – VedutaVeduta sulla Parrocchiale di Capriglio,Capriglio – VedutaVeduta sulla Parrocchiale di Capriglio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Tiziana Gaeta (lista civica) dal 12-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,45°00′14.89″N 8°00′28.77″E
Altitudine,231 m s.l.m.
Superficie,"5,06 km²"
Abitanti,298[1] (30-11-2025)
Densità,"58,89 ab./km²"
Frazioni,"Bacolla, Cecca, Agagliate, Serra"
Comuni confinanti,"Buttigliera d'Asti, Castelnuovo Don Bosco, Cerreto d'Asti, Montafia, Passerano Marmorito, Piovà Massaia"
Altre informazioni,Altre informazioni
Cod. postale,14014
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005019
Cod. catastale,B707
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 676 GG[3]"
Nome abitanti,caprigliesi
Patrono,san Martino di Tours
Cartografia,Cartografia
Capriglio,Capriglio
Capriglio – MappaMappa di localizzazione del comune di Capriglio nella provincia di Asti,Capriglio – MappaMappa di localizzazione del comune di Capriglio nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
