Castell'Alfero comune,Castell'Alfero comune.1
,
Castell'Alfero – VedutaVeduta,Castell'Alfero – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Giancarlo Fasano (lista civica Rinnoviamoci) dal 09-06-2024
Territorio,Territorio
Coordinate,44°58′56″N 8°12′42″E
Altitudine,235 m s.l.m.
Superficie,"20,09 km²"
Abitanti,2 593[1] (30-11-2025)
Densità,"129,07 ab./km²"
Frazioni,"Bricco Beretta, Callianetto, Casotto, Moncucco, Noveiva, Serra Perno, Stazione"
Comuni confinanti,"Asti, Calliano Monferrato, Corsione, Cossombrato, Frinco, Tonco, Villa San Secondo"
Altre informazioni,Altre informazioni
Cod. postale,14033
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005025
Cod. catastale,C127
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 680 GG[3]"
Nome abitanti,castellalferesi
Patrono,santi Pietro e Paolo
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Castell'Alfero,Castell'Alfero
Castell'Alfero – MappaMappa di localizzazione del comune di Castell'Alfero nella provincia di Asti,Castell'Alfero – MappaMappa di localizzazione del comune di Castell'Alfero nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
