Vigliano d'Asti comune,Vigliano d'Asti comune.1
,
Vigliano d'Asti – Veduta,Vigliano d'Asti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Daniele Prasso (lista civica Insieme per Vigliano) dal 26-5-2019
Territorio,Territorio
Coordinate,44°50′06″N 8°13′49″E
Altitudine,279 m s.l.m.
Superficie,"6,65 km²"
Abitanti,788[1] (30-11-2025)
Densità,"118,5 ab./km²"
Frazioni,"Boglietto, Camicia, Francia, Quassolo, Ramello, Sabbionera, San Carlo, Valgrande, Valmontasca, Valpozzo, Valtiglione"
Comuni confinanti,"Asti, Isola d'Asti, Mongardino, Montegrosso d'Asti, Rocca d'Arazzo"
Altre informazioni,Altre informazioni
Cod. postale,14040
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005116
Cod. catastale,L879
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 529 GG[3]"
Nome abitanti,viglianesi
Giorno festivo,8 agosto
Cartografia,Cartografia
Vigliano d'Asti,Vigliano d'Asti
Vigliano d'Asti – MappaMappa di localizzazione del comune di Vigliano d'Asti nella provincia di Asti,Vigliano d'Asti – MappaMappa di localizzazione del comune di Vigliano d'Asti nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
