Calliano Monferrato comune,Calliano Monferrato comune.1
,
Calliano Monferrato – VedutaVeduta,Calliano Monferrato – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Paolo Maria Belluardo (lista civica Calliano nel 2000) dal 25-5-2014 (2º mandato dal 26-5-2019)
Territorio,Territorio
Coordinate,45°00′09.15″N 8°15′01.7″E
Altitudine,258 m s.l.m.
Superficie,"17,29 km²"
Abitanti,1 230[1] (30-11-2025)
Densità,"71,14 ab./km²"
Frazioni,"Montarsone, Perrona, San Desiderio"
Comuni confinanti,"Alfiano Natta (AL), Asti, Castagnole Monferrato, Castell'Alfero, Grana Monferrato, Penango, Portacomaro, Scurzolengo, Tonco"
Altre informazioni,Altre informazioni
Cod. postale,14031
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005014
Cod. catastale,B418
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,callianesi
Patrono,SS.mo Nome di Maria
Giorno festivo,fine settimana della 3ª domenica di ottobre
Cartografia,Cartografia
Calliano Monferrato,Calliano Monferrato
Calliano Monferrato – MappaMappa di localizzazione del comune di Calliano nella provincia di Asti,Calliano Monferrato – MappaMappa di localizzazione del comune di Calliano nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
