Castelletto Molina comune,Castelletto Molina comune.1
,
Castelletto Molina – VedutaVeduta dal Castello Conti Veggi,Castelletto Molina – VedutaVeduta dal Castello Conti Veggi
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Luca Gabutto (lista civica Uniti per castelletto) dal 15-05-2023
Territorio,Territorio
Coordinate,44°45′08″N 8°26′03″E
Altitudine,227 m s.l.m.
Superficie,"3,07 km²"
Abitanti,137[1] (30-11-2025)
Densità,"44,63 ab./km²"
Frazioni,Regione Molina
Comuni confinanti,"Alice Bel Colle (AL), Castel Rocchero, Fontanile, Quaranti"
Altre informazioni,Altre informazioni
Cod. postale,14040
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005027
Cod. catastale,C161
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 673 GG[3]"
Nome abitanti,castellettesi
Patrono,san Bartolomeo apostolo
Giorno festivo,24 agosto
Cartografia,Cartografia
Castelletto Molina,Castelletto Molina
Castelletto Molina – MappaMappa di localizzazione del comune di Castelletto Molina nella provincia di Asti,Castelletto Molina – MappaMappa di localizzazione del comune di Castelletto Molina nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
