Castelnuovo Calcea comune,Castelnuovo Calcea comune.1
,
Castelnuovo Calcea – VedutaPanorama da Castelnuovo Calcea verso San Marzano Oliveto con veduta sul Monte Rosa,Castelnuovo Calcea – VedutaPanorama da Castelnuovo Calcea verso San Marzano Oliveto con veduta sul Monte Rosa
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Roberto Guastello (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,44°47′21″N 8°17′10″E
Altitudine,246 m s.l.m.
Superficie,"8,2 km²"
Abitanti,682[1] (30-11-2025)
Densità,"83,17 ab./km²"
Frazioni,"Argentina, Caranti, Momparone, Opessina, Preie, Stazione, Toetto, Valleggia"
Comuni confinanti,"Agliano Terme, Moasca, Mombercelli, Montegrosso d'Asti, Nizza Monferrato, San Marzano Oliveto, Vinchio"
Altre informazioni,Altre informazioni
Cod. postale,14040
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005030
Cod. catastale,C230
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 689 GG[3]"
Nome abitanti,castelnuovesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Castelnuovo Calcea,Castelnuovo Calcea
Castelnuovo Calcea – MappaMappa di localizzazione del comune di Castelnuovo Calcea nella provincia di Asti,Castelnuovo Calcea – MappaMappa di localizzazione del comune di Castelnuovo Calcea nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
