Baldichieri d'Asti comune,Baldichieri d'Asti comune.1
,
Baldichieri d'Asti – VedutaVeduta,Baldichieri d'Asti – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Arduino Sara (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,44°54′25″N 8°05′34″E
Altitudine,173 m s.l.m.
Superficie,"5,07 km²"
Abitanti,1 111[1] (30-11-2025)
Densità,"219,13 ab./km²"
Frazioni,"Borgo Murati, Bricco Gianotti, Regione Mandoletta, Strada Capello"
Comuni confinanti,"Asti, Castellero, Monale, Tigliole, Villafranca d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14011
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005007
Cod. catastale,A588
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 659 GG[3]"
Nome abitanti,baldichieresi
Patrono,San Secondo d'Asti
Giorno festivo,2 maggio
Cartografia,Cartografia
Baldichieri d'Asti,Baldichieri d'Asti
Baldichieri d'Asti – MappaMappa di localizzazione del comune di Baldichieri d'Asti nella provincia di Asti,Baldichieri d'Asti – MappaMappa di localizzazione del comune di Baldichieri d'Asti nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
