Refrancore comune,Refrancore comune.1
,
Refrancore – Veduta,Refrancore – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Diego Mogliotti (lista civica Cambiamo Refrancore) dal 9-6-2024
Territorio,Territorio
Coordinate,44°56′14″N 8°20′31″E
Altitudine,150 m s.l.m.
Superficie,"13,21 km²"
Abitanti,1 539[1] (30-11-2025)
Densità,"116,5 ab./km²"
Frazioni,"Barcara, Bonina, Calcini, Maddalena, Platona, Rossi"
Comuni confinanti,"Asti, Castagnole Monferrato, Castello di Annone, Montemagno Monferrato, Quattordio (AL), Viarigi"
Altre informazioni,Altre informazioni
Cod. postale,14030
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005089
Cod. catastale,H219
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 608 GG[3]"
Nome abitanti,refrancoresi
Patrono,san Dionigi[non chiaro]
Giorno festivo,18 settembre
Cartografia,Cartografia
Refrancore,Refrancore
Refrancore – MappaMappa di localizzazione del comune di Refrancore nella provincia di Asti,Refrancore – MappaMappa di localizzazione del comune di Refrancore nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
