Tonco comune,Tonco comune.1
,
Tonco – VedutaMunicipio di Tonco,Tonco – VedutaMunicipio di Tonco
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Fratini Cesare (lista civica) dall'11-6-2017
Territorio,Territorio
Coordinate,45°01′31″N 8°11′28″E
Altitudine,271 m s.l.m.
Superficie,"11,78 km²"
Abitanti,758[1] (30-11-2025)
Densità,"64,35 ab./km²"
Frazioni,"Casalino, Casa Paletti, Stazione di Tonco"
Comuni confinanti,"Alfiano Natta (AL), Calliano Monferrato, Castell'Alfero, Corsione, Frinco, Montiglio Monferrato, Villa San Secondo, Villadeati (AL)"
Altre informazioni,Altre informazioni
Cod. postale,14039
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005109
Cod. catastale,L203
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 710 GG[3]"
Nome abitanti,tonchesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Tonco,Tonco
Tonco – MappaMappa di localizzazione del comune di Tonco nella provincia di Asti,Tonco – MappaMappa di localizzazione del comune di Tonco nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
