Quaranti comune,Quaranti comune.1
,
Quaranti – Veduta,Quaranti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Giuseppe Pigella (lista civica)
Territorio,Territorio
Coordinate,44°45′07″N 8°27′01″E
Altitudine,273 m s.l.m.
Superficie,"2,86 km²"
Abitanti,146[1] (30-11-2025)
Densità,"51,05 ab./km²"
Comuni confinanti,"Alice Bel Colle (AL), Castelletto Molina, Fontanile, Mombaruzzo, Ricaldone (AL)"
Altre informazioni,Altre informazioni
Cod. postale,14040
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005088
Cod. catastale,H102
Targa,AT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 711 GG[3]"
Nome abitanti,quarantini
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Quaranti,Quaranti
Quaranti – MappaMappa di localizzazione del comune di Quaranti nella provincia di Asti,Quaranti – MappaMappa di localizzazione del comune di Quaranti nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
