Montegrosso d'Asti comune,Montegrosso d'Asti comune.1
,
Montegrosso d'Asti – VedutaPanorama del paese,Montegrosso d'Asti – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Monica Masino (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,44°49′18″N 8°14′19″E
Altitudine,244 m s.l.m.
Superficie,"15,42 km²"
Abitanti,2 332[1] (30-11-2025)
Densità,"151,23 ab./km²"
Frazioni,"Bagnerio, Basolo, Biolla, Boscogrande, Bricco Monti, Gallareto, Gorra, Messadio, Moroni, Nalberone, Palazzo, Santo Stefano, Tana, Valenzano, Vallumida, Zucchetto"
Comuni confinanti,"Agliano Terme, Castelnuovo Calcea, Costigliole d'Asti, Isola d'Asti, Mombercelli, Montaldo Scarampi, Rocca d'Arazzo, Vigliano d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14048
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005076
Cod. catastale,F527
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 613 GG[3]"
Nome abitanti,montegrossesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Montegrosso d'Asti,Montegrosso d'Asti
Montegrosso d'Asti – MappaMappa di localizzazione del comune di Montegrosso d'Asti nella provincia di Asti,Montegrosso d'Asti – MappaMappa di localizzazione del comune di Montegrosso d'Asti nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
