Piovà Massaia comune,Piovà Massaia comune.1
,
Piovà Massaia – VedutaVeduta aerea,Piovà Massaia – VedutaVeduta aerea
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Antonello Murgia (lista civica Insieme per Piovà) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°03′22″N 8°03′04″E
Altitudine,300 m s.l.m.
Superficie,"10,14 km²"
Abitanti,559[1] (30-11-2025)
Densità,"55,13 ab./km²"
Frazioni,"Braja, Cascine Freis, Cascine San Pietro, Cascine Zingari, Castelvero, Gallareto"
Comuni confinanti,"Capriglio, Cerreto d'Asti, Cocconato, Cunico, Montafia, Montiglio Monferrato, Passerano Marmorito, Piea"
Altre informazioni,Altre informazioni
Cod. postale,14026
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005086
Cod. catastale,G692
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 734 GG[3]"
Nome abitanti,piovatesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Piovà Massaia,Piovà Massaia
Piovà Massaia – MappaMappa di localizzazione del comune di Piovà Massaia nella provincia di Asti,Piovà Massaia – MappaMappa di localizzazione del comune di Piovà Massaia nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
