Montemagno Monferrato comune,Montemagno Monferrato comune.1
,
Montemagno Monferrato – VedutaPanorama di Montemagno Monferrato,Montemagno Monferrato – VedutaPanorama di Montemagno Monferrato
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Claudio Gotta (lista civica La tua voce per il paese) dal 26-5-2014
Territorio,Territorio
Coordinate,44°59′02″N 8°19′35″E
Altitudine,260 m s.l.m.
Superficie,"16,1 km²"
Abitanti,1 031[1] (30-11-2025)
Densità,"64,04 ab./km²"
Frazioni,"San Carlo, Santo Stefano"
Comuni confinanti,"Altavilla Monferrato (AL), Casorzo Monferrato, Castagnole Monferrato, Grana Monferrato, Refrancore, Viarigi"
Altre informazioni,Altre informazioni
Cod. postale,14030
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005077
Cod. catastale,F556
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 701 GG[3]"
Nome abitanti,montemagnesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
Cartografia,Cartografia
Montemagno Monferrato,Montemagno Monferrato
Montemagno Monferrato – MappaMappa di localizzazione del comune di Montemagno Monferrato nella provincia di Asti,Montemagno Monferrato – MappaMappa di localizzazione del comune di Montemagno Monferrato nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
