Incisa Scapaccino comune,Incisa Scapaccino comune.1
,
Incisa Scapaccino – VedutaVeduta,Incisa Scapaccino – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Matteo Massimelli (lista civica Noi per Incisa) dal 25-5-2014
Territorio,Territorio
Coordinate,44°48′32″N 8°22′37″E
Altitudine,131 m s.l.m.
Superficie,"20,7 km²"
Abitanti,2 012[1] (30-11-2025)
Densità,"97,2 ab./km²"
Frazioni,"Borgo Ghiare, Borgo Impero, Borgo Madonna, Borgo Stazione, Borgo Villa, Regione Collina[2]"
Comuni confinanti,"Bergamasco (AL), Castelnuovo Belbo, Cortiglione, Masio (AL), Nizza Monferrato, Oviglio (AL), Vaglio Serra"
Altre informazioni,Altre informazioni
Cod. postale,14045
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005058
Cod. catastale,E295
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 518 GG[4]"
Nome abitanti,incisiani
Patrono,san Feliciano
Giorno festivo,8 giugno
Cartografia,Cartografia
Incisa Scapaccino,Incisa Scapaccino
Incisa Scapaccino – MappaMappa di localizzazione del comune di Incisa Scapaccino nella provincia di Asti,Incisa Scapaccino – MappaMappa di localizzazione del comune di Incisa Scapaccino nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
