Isola d'Asti comune,Isola d'Asti comune.1
,
Isola d'Asti – Veduta,Isola d'Asti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Michael Vitello (lista civica Isola c'è - Vitello sindaco) dal 27-5-2019
Territorio,Territorio
Coordinate,44°50′03″N 8°10′53″E
Altitudine,136 m s.l.m.
Superficie,"13,5 km²"
Abitanti,1 893[1] (30-11-2025)
Densità,"140,22 ab./km²"
Frazioni,"Chiappa, Mongovone, Piano, Repergo, Villa"
Comuni confinanti,"Antignano, Asti, Costigliole d'Asti, Mongardino, Montegrosso d'Asti, Revigliasco d'Asti, Vigliano d'Asti"
Altre informazioni,Altre informazioni
Cod. postale,14057
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005059
Cod. catastale,E338
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,isolani
Patrono,santa Caterina
Giorno festivo,25 novembre
Cartografia,Cartografia
Isola d'Asti,Isola d'Asti
Isola d'Asti – MappaMappa di localizzazione del comune di Isola d'Asti nella provincia di Asti,Isola d'Asti – MappaMappa di localizzazione del comune di Isola d'Asti nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
