Montabone comune,Montabone comune.1
,
Montabone – VedutaPanorama,Montabone – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Giuseppe Maurizio Aliardi (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°41′59″N 8°23′30″E
Altitudine,454 m s.l.m.
Superficie,"8,54 km²"
Abitanti,299[1] (30-11-2025)
Densità,"35,01 ab./km²"
Frazioni,"Ferraris, Girini, Lacqua, Merlamorta"
Comuni confinanti,"Acqui Terme (AL), Bistagno (AL), Castel Boglione, Castel Rocchero, Rocchetta Palafea, Terzo (AL)"
Altre informazioni,Altre informazioni
Cod. postale,14040
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005072
Cod. catastale,F386
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 863 GG[3]"
Nome abitanti,montabonesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Montabone,Montabone
Montabone – MappaMappa di localizzazione del comune di Montabone nella provincia di Asti,Montabone – MappaMappa di localizzazione del comune di Montabone nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
