Piea comune,Piea comune.1
,
Piea – Veduta,Piea – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Asti
Amministrazione,Amministrazione
Sindaco,Alessandro Borgo (lista civica Impegno per Piea) dal 10-6-2024
Territorio,Territorio
Coordinate,45°01′30″N 8°04′18″E
Altitudine,275 m s.l.m.
Superficie,9 km²
Abitanti,487[1] (30-11-2025)
Densità,"54,11 ab./km²"
Frazioni,"Primparino, San Grato, Vallia, Vallunga, Varandone, Vaccarito, Caffarotto, Rodino, San Secondo, Ingazzo, Chiusa"
Comuni confinanti,"Cortanze, Cunico, Montafia, Piovà Massaia, Soglio, Viale"
Altre informazioni,Altre informazioni
Cod. postale,14020
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,005084
Cod. catastale,G593
Targa,AT
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 713 GG[3]"
Nome abitanti,pieesi
Patrono,santi Filippo e Giacomo
Giorno festivo,3 maggio
Cartografia,Cartografia
Piea,Piea
Piea – MappaMappa di localizzazione del comune di Piea nella provincia di Asti,Piea – MappaMappa di localizzazione del comune di Piea nella provincia di Asti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
